education,gender,nuts1,parameter_set,population
level_two,male,UKE,6,595252.3937636046
level_two,male,UKF,6,526316.3143529048
level_two,male,UKG,6,545434.2309525928
level_two,male,UKH,6,570167.0154051252
level_two,male,UKI,6,574508.4685206957
level_two,male,UKJ,6,879634.467612865
level_two,male,UKK,6,608851.4575423931
level_two,male,UKL,6,323023.99315857363
level_two,male,UKM,6,580806.8229676131
level_two,female,UKC,6,240103.9072495364
level_two,female,UKD,6,647513.1904863645
level_two,female,UKE,6,495931.56785147387
level_two,female,UKF,6,459590.2948496633
level_two,female,UKG,6,473675.5890301911
level_two,female,UKH,6,536057.8122163276
level_two,female,UKI,6,560377.6050150556
level_two,female,UKJ,6,765252.8628119623
level_two,female,UKK,6,540385.8545767029
level_two,female,UKL,6,259810.88278353354
level_two,female,UKM,6,433831.2493635628
level_three,male,UKC,6,165401.6321494353
level_three,male,UKD,6,500427.177057348
level_three,male,UKE,6,401792.43451584515
level_three,male,UKF,6,367431.03903092403
level_three,male,UKG,6,388085.6727344759
level_three,male,UKH,6,418022.96502288926
level_three,male,UKI,6,592065.8290744574
level_three,male,UKJ,6,608373.9330305028
level_three,male,UKK,6,384878.66903551266
level_three,male,UKL,6,229609.66637413471
level_three,male,UKM,6,449630.8630400442
level_three,female,UKC,6,181123.90759569465
level_three,female,UKD,6,461950.0791237592
level_three,female,UKE,6,375123.3691270165
level_three,female,UKF,6,350063.07817562844
level_three,female,UKG,6,390217.83756638115
level_three,female,UKH,6,425781.2174089554
level_three,female,UKI,6,597319.0558279934
level_three,female,UKJ,6,616877.6294687031
level_three,female,UKK,6,384658.45446673594
level_three,female,UKL,6,228647.08977174337
level_three,female,UKM,6,512929.5137703493
level_four,male,UKC,6,229052.08981212173
level_four,male,UKD,6,699590.7251605508
level_four,male,UKE,6,478072.3852306917
level_four,male,UKF,6,404354.6504568286
level_four,male,UKG,6,522628.7897363794
level_four,male,UKH,6,655586.3950342444
level_four,male,UKI,6,1560145.5080073508
level_four,male,UKJ,6,1104742.4830422367
level_four,male,UKK,6,601658.5092919884
level_four,male,UKL,6,285992.7656196199
level_four,male,UKM,6,563263.0419547122
level_four,female,UKC,6,266657.70367999765
level_four,female,UKD,6,808939.5411352236
level_four,female,UKE,6,551086.2288904389
level_four,female,UKF,6,461803.16612501023
level_four,female,UKG,6,596329.1521710762
level_four,female,UKH,6,685879.8660517356
level_four,female,UKI,6,1580414.8548035712
level_four,female,UKJ,6,1260184.8178320576
level_four,female,UKK,6,698201.7392596288
level_four,female,UKL,6,355843.031310256
level_four,female,UKM,6,711557.7091277136
no_qualifications,male,UKC,7,96658.087726852
no_qualifications,male,UKD,7,275517.4033593482
no_qualifications,male,UKE,7,197540.99559919714
no_qualifications,male,UKF,7,140052.16129467273
no_qualifications,male,UKG,7,273498.48568226537
no_qualifications,male,UKH,7,185795.5690664507
no_qualifications,male,UKI,7,225109.25305697785
no_qualifications,male,UKJ,7,193907.55307468338
no_qualifications,male,UKK,7,118400.33190790871
no_qualifications,male,UKL,7,117655.3601431165
no_qualifications,male,UKM,7,212769.9551392515
