education,gender,nuts1,parameter_set,vote_intention,predicted_probability
level_one,female,UKJ,1,green,0.360987749778704
level_one,female,UKK,1,green,0.413990204804056
level_one,female,UKL,1,green,0.446885035559383
level_one,female,UKM,1,green,0.331118741467156
level_two,male,UKC,1,green,0.552867602903093
level_two,male,UKD,1,green,0.478280462332714
level_two,male,UKE,1,green,0.436860890525885
level_two,male,UKF,1,green,0.314786765719214
level_two,male,UKG,1,green,0.380717341434323
level_two,male,UKH,1,green,0.277495522435508
level_two,male,UKI,1,green,0.49811380065847
level_two,male,UKJ,1,green,0.272798743108031
level_two,male,UKK,1,green,0.309696038072189
level_two,male,UKL,1,green,0.36468415240894
level_two,male,UKM,1,green,0.259094924368846
level_two,female,UKC,1,green,0.638798535192218
level_two,female,UKD,1,green,0.565265800049223
level_two,female,UKE,1,green,0.525818636380527
level_two,female,UKF,1,green,0.412950302391133
level_two,female,UKG,1,green,0.47521951348561
level_two,female,UKH,1,green,0.367617479970671
level_two,female,UKI,1,green,0.590323198763204
level_two,female,UKJ,1,green,0.369782448668582
level_two,female,UKK,1,green,0.416816085606706
level_two,female,UKL,1,green,0.456436251328152
level_two,female,UKM,1,green,0.34128108577958
level_three,male,UKC,1,green,0.548884612063704
level_three,male,UKD,1,green,0.466266718240028
level_three,male,UKE,1,green,0.421650109390879
level_three,male,UKF,1,green,0.293771909323216
level_three,male,UKG,1,green,0.363868255193204
level_three,male,UKH,1,green,0.254425709185773
level_three,male,UKI,1,green,0.461579009854338
level_three,male,UKJ,1,green,0.245275913337124
level_three,male,UKK,1,green,0.268876321552473
level_three,male,UKL,1,green,0.334529905601682
level_three,male,UKM,1,green,0.244676199270602
level_three,female,UKC,1,green,0.640424906289332
level_three,female,UKD,1,green,0.558698329331563
level_three,female,UKE,1,green,0.515110584161866
level_three,female,UKF,1,green,0.393547417980143
level_three,female,UKG,1,green,0.462661339447809
level_three,female,UKH,1,green,0.344892749698466
level_three,female,UKI,1,green,0.557580414077997
level_three,female,UKJ,1,green,0.340432648220498
level_three,female,UKK,1,green,0.371064174493276
level_three,female,UKL,1,green,0.425975323342744
level_three,female,UKM,1,green,0.327696254310344
level_four,male,UKC,1,green,0.600908034274442
level_four,male,UKD,1,green,0.517732844646216
level_four,male,UKE,1,green,0.478228290431622
level_four,male,UKF,1,green,0.343192474511541
level_four,male,UKG,1,green,0.426633636351401
level_four,male,UKH,1,green,0.299508798894586
level_four,male,UKI,1,green,0.515886222868883
level_four,male,UKJ,1,green,0.292398883296741
level_four,male,UKK,1,green,0.315860615062532
level_four,male,UKL,1,green,0.401681183610771
level_four,male,UKM,1,green,0.29161709736497
level_four,female,UKC,1,green,0.689472097403981
level_four,female,UKD,1,green,0.607869455406743
level_four,female,UKE,1,green,0.571423650722406
level_four,female,UKF,1,green,0.445554294238477
level_four,female,UKG,1,green,0.528674736355565
level_four,female,UKH,1,green,0.393331353669325
level_four,female,UKI,1,green,0.610084857568211
level_four,female,UKJ,1,green,0.393518631567976
level_four,female,UKK,1,green,0.422896639383961
level_four,female,UKL,1,green,0.497298276967765
level_four,female,UKM,1,green,0.379092718320809
no_qualifications,male,UKC,1,plaid,0.00248015522062001
no_qualifications,male,UKD,1,plaid,2.96349613550187e-05
no_qualifications,male,UKE,1,plaid,0.00367543907647221
